Date,Label,1,2,3,4,5,6,7,8,9,10,top1,top2,top3,top4,top5,top6,top7,top8
2018-05-17,0,[4.459961000000021],[-10.770019999999931],[0.1999510000000555],[4.660033999999996],[11.53991700000006],[24.660033999999996],[-4.630004999999983],[5.56005899999991],[31.30993699999999],[4.7199710000001005],,,,,,,,
2018-05-18,1,[-1.3000489999999445],[4.459961000000021],[-10.770019999999931],[0.1999510000000555],[4.660033999999996],[11.53991700000006],[24.660033999999996],[-4.630004999999983],[5.56005899999991],[31.30993699999999],,,,,,,,
2018-05-21,1,[4.5],[-1.3000489999999445],[4.459961000000021],[-10.770019999999931],[0.1999510000000555],[4.660033999999996],[11.53991700000006],[24.660033999999996],[-4.630004999999983],[5.56005899999991],,,,,,,,
2018-05-22,0,[5.519897000000128],[4.5],[-1.3000489999999445],[4.459961000000021],[-10.770019999999931],[0.1999510000000555],[4.660033999999996],[11.53991700000006],[24.660033999999996],[-4.630004999999983],,,,,,,,
2018-05-23,1,[-13.830078999999841],[5.519897000000128],[4.5],[-1.3000489999999445],[4.459961000000021],[-10.770019999999931],[0.1999510000000555],[4.660033999999996],[11.53991700000006],[24.660033999999996],,,,,,,,
2018-05-24,1,[14.559936000000107],[-13.830078999999841],[5.519897000000128],[4.5],[-1.3000489999999445],[4.459961000000021],[-10.770019999999931],[0.1999510000000555],[4.660033999999996],[11.53991700000006],,,,,,,,
2018-05-25,0,[0.23999000000003434],[14.559936000000107],[-13.830078999999841],[5.519897000000128],[4.5],[-1.3000489999999445],[4.459961000000021],[-10.770019999999931],[0.1999510000000555],[4.660033999999996],ireland’s abortion referendum becomes a test for facebook and google,,,,,,,
2018-05-29,0,[],[-3.3599859999999353],[0.23999000000003434],[14.559936000000107],[-13.830078999999841],[5.519897000000128],[4.5],[-1.3000489999999445],[4.459961000000021],[-10.770019999999931],,,,,,,,
2018-05-30,1,[-4.570068999999876],[],[-3.3599859999999353],[0.23999000000003434],[14.559936000000107],[-13.830078999999841],[5.519897000000128],[4.5],[-1.3000489999999445],[4.459961000000021],how a pentagon contract became an identity crisis for google,,,,,,,
2018-05-31,1,[4.770019999999931],[-4.570068999999876],[],[-3.3599859999999353],[0.23999000000003434],[14.559936000000107],[-13.830078999999841],[5.519897000000128],[4.5],[-1.3000489999999445],"protesters block google buses in san francisco, citing ‘techsploitation’",,,,,,,
2018-06-01,1,[17.429931000000124],[4.770019999999931],[-4.570068999999876],[],[-3.3599859999999353],[0.23999000000003434],[14.559936000000107],[-13.830078999999841],[5.519897000000128],[4.5],google will not renew pentagon contract that upset employees,,,,,,,
2018-06-04,1,[20.15002400000003],[17.429931000000124],[4.770019999999931],[-4.570068999999876],[],[-3.3599859999999353],[0.23999000000003434],[14.559936000000107],[-13.830078999999841],[5.519897000000128],,,,,,,,
2018-06-05,0,[16.96008299999994],[20.15002400000003],[17.429931000000124],[4.770019999999931],[-4.570068999999876],[],[-3.3599859999999353],[0.23999000000003434],[14.559936000000107],[-13.830078999999841],,,,,,,,
2018-06-06,0,[-1.3299560000000383],[16.96008299999994],[20.15002400000003],[17.429931000000124],[4.770019999999931],[-4.570068999999876],[],[-3.3599859999999353],[0.23999000000003434],[14.559936000000107],google is in europe’s cross hairs again: dealbook briefing,,,,,,,
2018-06-07,0,[-5.290038999999979],[-1.3299560000000383],[16.96008299999994],[20.15002400000003],[17.429931000000124],[4.770019999999931],[-4.570068999999876],[],[-3.3599859999999353],[0.23999000000003434],google promises its a.i. will not be used for weapons,,,,,,,
2018-06-08,1,[-7.459961000000021],[-5.290038999999979],[-1.3299560000000383],[16.96008299999994],[20.15002400000003],[17.429931000000124],[4.770019999999931],[-4.570068999999876],[],[-3.3599859999999353],,,,,,,,
2018-06-11,1,[2.68994100000009],[-7.459961000000021],[-5.290038999999979],[-1.3299560000000383],[16.96008299999994],[20.15002400000003],[17.429931000000124],[4.770019999999931],[-4.570068999999876],[],,,,,,,,
2018-06-12,1,[11.390014000000065],[2.68994100000009],[-7.459961000000021],[-5.290038999999979],[-1.3299560000000383],[16.96008299999994],[20.15002400000003],[17.429931000000124],[4.770019999999931],[-4.570068999999876],,,,,,,,
2018-06-13,0,[8.25],[11.390014000000065],[2.68994100000009],[-7.459961000000021],[-5.290038999999979],[-1.3299560000000383],[16.96008299999994],[20.15002400000003],[17.429931000000124],[4.770019999999931],,,,,,,,
2018-06-14,1,[-6.329956000000038],[8.25],[11.390014000000065],[2.68994100000009],[-7.459961000000021],[-5.290038999999979],[-1.3299560000000383],[16.96008299999994],[20.15002400000003],[17.429931000000124],,,,,,,,
2018-06-15,1,[8.270019000000048],[-6.329956000000038],[8.25],[11.390014000000065],[2.68994100000009],[-7.459961000000021],[-5.290038999999979],[-1.3299560000000383],[16.96008299999994],[20.15002400000003],,,,,,,,
2018-06-18,1,[3.400024999999914],[8.270019000000048],[-6.329956000000038],[8.25],[11.390014000000065],[2.68994100000009],[-7.459961000000021],[-5.290038999999979],[-1.3299560000000383],[16.96008299999994],"google, rebuilding its presence in china, invests in retailer jd.com","google’s diversity efforts, charted",google’s jd.com deal shows silicon valley still wants in on china,,,,,
2018-06-19,1,[29.80993699999999],[3.400024999999914],[8.270019000000048],[-6.329956000000038],[8.25],[11.390014000000065],[2.68994100000009],[-7.459961000000021],[-5.290038999999979],[-1.3299560000000383],,,,,,,,
2018-06-20,0,[9.56005899999991],[29.80993699999999],[3.400024999999914],[8.270019000000048],[-6.329956000000038],[8.25],[11.390014000000065],[2.68994100000009],[-7.459961000000021],[-5.290038999999979],,,,,,,,
2018-06-21,0,[-5.470092999999906],[9.56005899999991],[29.80993699999999],[3.400024999999914],[8.270019000000048],[-6.329956000000038],[8.25],[11.390014000000065],[2.68994100000009],[-7.459961000000021],,,,,,,,
2018-06-22,0,[-17.189941999999974],[-5.470092999999906],[9.56005899999991],[29.80993699999999],[3.400024999999914],[8.270019000000048],[-6.329956000000038],[8.25],[11.390014000000065],[2.68994100000009],,,,,,,,
2018-06-25,0,[-3.66003499999988],[-17.189941999999974],[-5.470092999999906],[9.56005899999991],[29.80993699999999],[3.400024999999914],[8.270019000000048],[-6.329956000000038],[8.25],[11.390014000000065],,,,,,,,
2018-06-26,0,[-18.78991700000006],[-3.66003499999988],[-17.189941999999974],[-5.470092999999906],[9.56005899999991],[29.80993699999999],[3.400024999999914],[8.270019000000048],[-6.329956000000038],[8.25],,,,,,,,
